°C;grad Celsius
µg;Microgramm
µl;Microliter
µM;Micromolar
A;Adenin
ATP;Adenosintriphosphat
bp;Basenpaar
bzw.;beziehungsweise
C;Cytosin
c\textsubscript{q}-Wert;\textit{cycle quantification}-Wert
ca.;circa
cDNA;\textit{complementary} Desoxyribonukleinsäure
cRNP;\textit{complementary ribonucleoprotein}
Cy5;Cyanine 5
d.h.;das heißt
DdRp;DNA-abhängige RNA-Polymerase
DEAE;Diethylaminoethyl
DEPC;Diethylpyrocarbonat
DFA;direktes Fluoreszenz Antikörper Assay
DNA;Desoxyribonukleinsäure
EDTA;Ethylendiamintetraessigsäure
et al.;und andere (lat. \textit{et alia})
etc.;und so weiter (lat. \textit{et cetera})
Exo;Exonuklease III
FAM;Carboxyfluorescein
fpg;Formamidopyrimidin DNA Glykosylase
FRET;Förster-Resonanzenergietransfer
G;Guanin
h;Stunde
H\textsubscript{2}O\textsubscript{DEPC};PCR reines Wasser, Nuklease- und Nukleinsäure-frei, DEPC behandelt
HA;Hämagglutinin
HEX;Hexachlorofluorescein
hMPV;humanes Metapneumovirus
hRSV;humanes Respiratorisches Synzytial-Virus
IA;isotherme Amplifikationstechniken
iQ;\textit{internally Quenched}
