IRES;\textit{internal ribosomal entry site}
kb;Kilobase
LAMP;Schleifenvermittelte isotherme Amplifikation
LB;\textit{lysogenic broth}
M1;Matrixprotein
M2;Membranprotein
MAD;absolute Standardabweichung
min;Minute
ml;Milliliter
mM;Millimolar
mRNA;\textit{messenger} Ribonukleinsäure
NA;Neuraminidase
NAAT;Nukleinsäure amplifizierende Methoden
NASBA;Nukleinsäure sequenz-basierte Amplifikation
NCIRD;Nationales Center für Immunisierung und respiratorische Krankheiten
NEB;"New England
BioLabs"
NEP;\textit{nuclear export protein}
nfo;Endonuklease IV
ng;Nanogramm
nm;Nanometer
NS1;Nichtstrukturprotein 1
ORF;offener Leserahmen
PCR;Polymerase-Kettenreaktion
POCT;\textit{point-of-care testing}
PSM;Primer-Sonden-Mix
qPCR;quantitative Echtzeit Polymerase-Kettenreaktion
RIDT;\textit{rapid influenza diagnosis tests}
RNA;Ribonukleinsäure
RPA;Rekombinase Polymerase Amplifikation
RPM;\textit{round per minute}
RT;reverse  Transkription
RT-PCR;reverse Transkriptase Polymerase-Kettenreaktion
RT-qPCR;reverse Transkriptase quantitative Echtzeit Polymerase-Kettenreaktion
RT-RPA;reverse Transkriptase Rekombinase Polymerase Amplifikation
s;Sekunde
SARS-CoV-2;\textit{severe acute respiratory syndrome coronavirus type 2}
SD;Standardabweichung
