Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK ;ProbeL
0;-2,8422;-6,6622;-7,2774;-4,6728;-3,0386;-5,4656;-5,2244;-8,73236;-6,7854;-9,8246;-8,3758;-5,6226
0,5;-1,3542;-2,2402;-4,7384;-2,3458;-0,8366;-2,0156;-2,1034;-3,04166;-5,1444;-6,8036;-5,5608;-2,1666
1;-0,1402;-0,4932;-1,5804;-1,4528;-0,2776;-0,3066;-0,4294;0,33834;-3,3784;-4,0506;-3,2838;0,2864
1,5;1,3628;1,5718;2,5036;0,8522;1,6164;2,5604;2,0186;3,87334;0,2416;0,5624;0,7152;2,6654
2;2,9738;7,8238;11,0926;7,6192;2,5364;5,2274;5,7386;7,56234;15,0666;20,1164;16,5052;4,8374
2,5;3,9048;27,8738;36,4396;26,6922;3,3704;15,3854;18,0986;14,53234;55,4706;73,4664;62,3372;7,1484
3;4,4888;63,7278;70,5136;54,3412;4,1284;38,2594;44,1206;30,05134;108,7576;144,6964;126,4732;8,2164
3,5;5,7188;102,4008;103,8756;83,5132;5,3854;68,0024;78,5906;51,13334;157,5106;213,7674;190,5072;9,8834
4;6,3708;139,3438;133,1116;110,4122;6,0754;97,0054;112,2736;71,74834;203,3386;280,0624;252,0022;11,8424
4,5;7,1538;172,1588;160,1856;134,8552;7,0994;122,9244;143,1396;90,58934;249,4906;340,6214;309,0182;13,2494
5;7,8778;201,9638;183,6946;157,3482;8,4154;146,9534;171,1196;109,08734;287,8886;392,3474;360,4532;12,4224
5,5;7,8928;227,8288;205,1596;176,3852;9,2704;168,3064;195,5326;124,69734;320,3586;437,3554;405,1662;15,0814
6;9,0738;256,2048;224,5336;193,5102;11,2654;187,8074;218,7146;139,99234;351,7246;480,5524;444,9542;16,7514
6,5;9,3128;278,8008;242,7656;210,1442;11,7944;205,8584;239,2696;154,31434;376,5246;519,4954;481,5662;19,5404
7;10,0468;298,5998;258,9356;225,4552;13,1074;221,4284;258,1416;166,80934;397,6666;556,6844;515,2412;22,4934
7,5;10,8168;318,5298;275,2106;240,4382;14,6974;237,0834;275,4236;177,85334;420,1656;588,4204;545,3162;24,1284
8;12,4068;337,6518;291,1636;256,5702;16,3264;251,6494;291,9466;189,77734;444,8086;619,4824;572,8382;26,3864
8,5;13,4588;355,9378;306,4296;272,5962;17,9774;265,5294;309,1616;201,39834;465,9426;646,3044;599,5862;27,8184
9;14,2828;374,7488;322,4426;287,3222;19,6724;279,6254;324,8676;212,53834;485,4686;671,3824;623,5592;29,5454
9,5;14,7668;393,9778;338,6476;302,7512;21,1114;293,6744;341,6886;223,74934;501,5936;692,9104;644,2042;31,0484
10;15,7608;412,7528;354,7916;317,3342;22,1364;308,8064;356,6766;234,38734;516,9816;714,3604;663,1972;32,8254
10,5;16,4238;430,6948;371,4276;333,3122;23,1424;324,0464;372,9766;245,86534;530,8486;731,5894;679,5362;34,0974
11;17,1268;448,2928;387,7286;348,9962;24,4544;340,4454;390,1306;258,15134;543,7656;749,3374;695,0992;35,0844
11,5;17,7398;464,9168;404,3246;364,2082;25,4174;356,3144;406,8256;273,56434;555,2276;764,5434;708,7112;36,6584
12;17,8908;481,5478;419,6306;378,5552;26,1234;372,0794;424,2826;284,74634;565,0736;778,5534;721,5572;37,0764
12,5;18,7648;496,2128;434,7916;393,8472;27,8704;387,9194;440,5666;297,35434;574,2646;790,0134;733,8182;38,1214
13;18,9998;506,6548;448,6226;406,1642;27,2054;403,0784;454,7126;307,93334;582,5876;802,2234;744,4032;39,6954
13,5;19,6118;520,7308;463,2336;419,4052;28,6014;416,8054;469,5596;321,66734;591,2686;812,3734;755,5042;41,5824
14;20,6308;534,9758;476,9206;431,5322;30,0534;431,9434;483,5866;334,11234;597,4076;822,6734;765,6382;42,4394
14,5;21,0638;546,9678;488,8886;443,7252;30,8884;443,8834;496,9696;346,25934;601,6136;831,5634;774,3372;44,4324
15;21,1408;560,0928;500,7126;453,2192;31,4674;457,0504;509,9136;356,95834;605,2096;842,3834;782,5642;45,1494
15,5;21,4158;571,3138;511,7686;463,5472;32,1634;468,4754;521,4876;368,24134;609,5746;850,1834;790,1442;45,5934
16;22,0988;582,4878;522,6936;472,3422;32,5674;480,0094;532,3816;379,30834;615,5556;859,1534;798,1242;47,2794
16,5;22,8388;591,4758;532,0146;481,7592;33,9384;489,4714;542,8136;388,52334;622,7296;866,0734;804,8442;48,9654
17;22,8038;601,8328;540,7686;488,8062;34,5094;499,5274;551,5236;397,86734;628,7106;872,3234;811,8242;49,2854
17,5;23,0278;610,8628;549,2976;496,8722;35,1714;507,7464;560,8956;407,20834;636,2746;877,7134;819,1442;51,0884
18;23,6808;619,5878;556,7866;504,8972;36,1224;516,7054;569,3326;415,85634;642,5986;884,9034;825,6942;52,6644
18,5;23,6108;627,5878;563,6686;512,3402;36,5834;523,3274;576,5796;425,10934;647,9326;889,9434;830,8742;53,6344
19;24,5928;635,3318;570,6556;518,3292;37,8264;531,8324;583,6776;432,40934;653,9186;897,4034;836,7642;55,2094
19,5;24,8678;641,1698;576,9876;523,9882;38,6274;538,7054;590,6026;439,87134;658,7236;902,1034;840,1042;55,7944
