Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
0,5;-3,637;-4,0724;-6,9802;-4,0282;0,20354;0,031109;-0,21723;0,305794;;;;;;;;
1;-0,035;-0,2384;-3,4372;0,1398;0,2159;-0,127751;-0,34263;-0,248576;;;;;;;;
1,5;2,235;1,3736;-2,7432;0,8808;-1,4457;-1,586776;-1,81973;-1,883946;;;;;;;;
2;4,42;3,9286;0,5708;4,2148;-0,43463;0,219509;0,57981;0,654574;;;;;;;;
2,5;-2,983;-0,9914;12,5898;-1,2072;1,46089;1,463909;1,79978;1,172154;;;;;;;;
3;0,537;1,8986;8,2518;1,8618;-0,9465;-1,155091;-1,51316;-1,220454;;;;;;;;
3,5;2,904;3,4916;8,8928;4,0438;-2,01846;-1,991023;-1,83873;-1,965643;;;;;;;;
4;5,409;7,0836;11,2218;10,4128;1,90944;4,425649;5,14558;4,072714;;;;;;;;
4,5;9,702;16,9706;19,2198;15,8538;-2,7817308;18,762629;20,59069;15,792234;;;;;;;;
5;15,202;35,6886;36,5788;33,5528;-3,046398;68,838429;64,92289;55,405234;;;;;;;;
5,5;19,402;60,4256;63,7578;59,5898;-2,592719;145,353229;133,08459;116,786134;;;;;;;;
6;23,255;86,7946;95,3788;86,7458;-2,8646282;228,168229;209,39259;187,149134;;;;;;;;
6,5;26,079;113,5486;125,6788;114,5748;-2,133611;304,154229;280,67959;252,889134;;;;;;;;
7;29,015;138,2686;153,7448;140,7568;-2,105575;369,426229;342,48459;308,019134;;;;;;;;
7,5;29,737;159,2856;176,7418;163,4298;-3,063283;424,255229;397,86359;356,971134;;;;;;;;
8;31,506;179,1586;197,5418;184,7868;-3,074133;468,398229;443,58059;397,674134;;;;;;;;
8,5;32,228;195,9616;215,5008;202,8948;-3,036157;505,746229;481,48759;432,183134;;;;;;;;
9;33,901;212,2716;232,3248;219,7758;-2,375377;537,860229;513,49259;461,818134;;;;;;;;
9,5;34,62;225,3696;245,6178;233,5968;-2,114315;563,411229;540,07359;485,794134;;;;;;;;
10;36,073;238,1916;258,2588;246,9798;-2,159236;585,232229;562,90559;507,322134;;;;;;;;
10,5;36,499;248,6376;268,4418;257,6058;-2,634318;602,967229;581,05259;524,114134;;;;;;;;
11;37,718;258,5016;277,9908;268,4098;-2,427823;618,830229;597,76459;539,003134;;;;;;;;
11,5;38,149;266,7796;285,7708;276,9398;-2,1936;631,968229;610,75259;551,890134;;;;;;;;
12;38,709;273,5116;293,1508;284,5338;-2,722641;641,950229;621,80859;562,413134;;;;;;;;
12,5;40,175;280,4856;299,9998;291,4518;-1,973238;651,763229;632,59459;572,115134;;;;;;;;
13;40,058;285,7086;305,3298;297,2638;-2,633114;659,646229;640,49459;580,138134;;;;;;;;
13,5;40,87;290,5636;310,6398;302,5048;-2,473346;667,533229;648,62859;587,189134;;;;;;;;
14;41,865;295,3536;315,2828;307,6588;-2,527907;675,112229;656,51259;595,158134;;;;;;;;
14,5;41,855;298,7976;318,7938;311,2418;-2,8793988;684,908229;667,89759;602,992134;;;;;;;;
15;42,542;303,2536;322,7298;315,5778;-2,501078;696,842229;679,79459;614,177134;;;;;;;;
15,5;42,83;307,0266;327,1948;319,6298;-2,9155729;705,142229;688,96659;623,104134;;;;;;;;
16;43,011;310,5836;331,3948;323,6508;-2,397078;711,618229;696,08959;629,506134;;;;;;;;
16,5;43,056;313,8116;335,1398;325,7168;-1,995243;718,899229;701,92459;638,589134;;;;;;;;
17;42,487;317,6916;338,8248;331,8848;-1,56206;756,034229;740,00259;677,321134;;;;;;;;
17,5;40,814;338,7496;340,4578;358,5098;-2,614724;815,330229;803,31159;732,419134;;;;;;;;
18;40,44;367,9216;355,1728;389,0948;-2,52218;859,293229;852,82059;775,824134;;;;;;;;
18,5;40,598;391,7556;385,4838;413,3638;-2,977669;889,282229;887,21859;805,794134;;;;;;;;
19;40,561;410,2016;416,8348;431,6968;-2,9300425;910,168229;911,17959;827,620134;;;;;;;;
19,5;40,587;424,6966;441,9728;445,4738;-3,300527;926,245229;929,59859;843,749134;;;;;;;;
20;40,639;435,8376;461,8408;455,3548;-3,511239;937,133229;943,20159;855,873134;;;;;;;;
