Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP;ProbeQ;ProbeR;ProbeS;ProbeT;ProbeU
0,5;103,391;147,646;144,176;150,148;97,3674;140,098;141,697;145,462;238,641;227,597;243,134;242,96;;;;;;;;;
1;104,485;149,388;146,243;152,403;98,8183;142,295;143,571;147,554;242,473;230,208;245,905;246,597;;;;;;;;;
1,5;105,747;150,897;147,866;154,343;99,4853;143,544;145,555;149,441;244,476;233,164;249,538;249,667;;;;;;;;;
2;107,242;152,382;149,68;155,585;101,028;145,528;146,97;150,558;247,024;235,375;252,116;251,732;;;;;;;;;
2,5;109,313;154,751;152,134;156,148;102,515;147,63;149,133;153,223;249,319;237,509;253,977;253,494;;;;;;;;;
3;118,678;168,888;162,905;158,228;103,636;150,714;152,544;157,522;250,939;239,51;256,073;255,788;;;;;;;;;
3,5;152,184;213,18;202,113;158,774;104,118;160,349;165,572;167,982;252,259;243,399;260,631;259,235;;;;;;;;;
4;209,134;282,728;280,821;160,495;105,155;187,735;202,468;200,715;254,632;255,401;275,089;270,043;;;;;;;;;
4,5;268,572;352,842;367,502;161,493;105,909;233,794;263,295;258,684;256,098;287,358;312,009;296,7;;;;;;;;;
5;327,227;421,702;449,891;163,056;106,93;286,503;327,452;323,099;258,777;340,697;369,369;343,03;;;;;;;;;
5,5;389,387;494,376;529,035;165,756;107,659;340,771;388,272;386,52;261,133;398,279;428,55;391,998;;;;;;;;;
6;450,423;573,771;604,365;167,697;109,806;394,493;448,234;447,119;263,037;450,254;481,383;436,833;;;;;;;;;
6,5;505,271;653,61;678,094;169,337;111,082;449,189;506,6;505,866;264,412;495,216;528,057;476,787;;;;;;;;;
7;555,181;724,96;746,753;170,511;112,928;503,674;565,953;564,119;266,215;534,282;568,587;511,312;;;;;;;;;
7,5;599,923;791,177;810,869;172,871;114,317;559,882;624,546;622,362;268,315;569,623;605,888;541,989;;;;;;;;;
8;636,884;848,867;866,769;173,094;115,086;617,057;683,1;680,004;271,09;600,989;639,681;569,209;;;;;;;;;
8,5;671,738;903,104;916,812;174,218;114,876;673,61;739,708;736,767;273,829;629,768;669,497;593,485;;;;;;;;;
9;701,524;950,298;959,778;175,603;116,485;726,987;792,185;789,943;277,336;656,239;697,02;616,255;;;;;;;;;
9,5;726,966;990,86;996,782;176,546;117,188;778,277;841,057;840,264;280,18;679,767;722,083;637,475;;;;;;;;;
10;748,705;1026,25;1027,21;177,913;117,76;824,921;886,394;885,4;283,966;702,091;745,139;657,905;;;;;;;;;
10,5;765,77;1057,64;1053,13;178,716;118,354;867,633;925,324;926,647;286,336;721,415;765,591;676,354;;;;;;;;;
11;780,755;1082,7;1074,56;179,391;118,351;905,755;959,328;961,335;289,079;739,774;784,16;694,034;;;;;;;;;
11,5;793,828;1104,02;1091,05;180,274;118,705;940,054;990,186;992,621;291,874;756,513;801,634;709,825;;;;;;;;;
12;804,175;1122,8;1105,36;181,535;120,1;970,081;1017,22;1021,07;295,589;772,124;818,135;726,453;;;;;;;;;
12,5;813,627;1137,83;1118,3;182,341;121,043;997,908;1038,76;1044,97;296,865;785,007;832,479;739,288;;;;;;;;;
13;821,505;1152,43;1129,4;183,54;121,631;1019,87;1059,78;1066,08;299,865;798,299;845,431;752,375;;;;;;;;;
13,5;827,99;1162,67;1140;184,19;122,396;1042,31;1078,94;1085,47;302,063;811,347;858,735;765,293;;;;;;;;;
14;831,496;1172;1147,88;184,586;122,723;1058,2;1092,51;1101,39;304,662;822,557;871,102;776,832;;;;;;;;;
14,5;837,242;1179,61;1154,43;185,197;122,709;1075,18;1105,39;1115,81;306,135;833,171;881,997;787,521;;;;;;;;;
15;842,93;1186,23;1160,9;186,118;123,499;1088,06;1116,83;1128,71;308,44;842,664;891,757;797,378;;;;;;;;;
15,5;847,615;1193,33;1166,48;187,235;123,943;1101,88;1126,66;1139,93;310,393;851,41;901,679;806,5;;;;;;;;;
16;851,059;1198,68;1170,59;188,656;125,935;1112,43;1135,73;1151,09;313,236;860,076;910,165;814,481;;;;;;;;;
16,5;853,464;1204,2;1173,97;189,965;125,493;1122,75;1142,99;1159,59;315,347;868,628;918,74;824,483;;;;;;;;;
17;854,733;1207,03;1177,25;190,284;125,838;1129,45;1149,27;1167,42;316,884;875,865;926,133;832,154;;;;;;;;;
17,5;856,648;1211,19;1180,96;190,811;126,929;1138,01;1153,74;1175,21;319,478;883,537;934,154;840,103;;;;;;;;;
18;859,231;1213,25;1185,04;191,783;128,263;1144,77;1159,21;1181,32;322,176;890,8;941,845;848,235;;;;;;;;;
18,5;862,27;1216,91;1188,34;193,005;128,517;1152,38;1163,5;1187,78;323,708;896,89;948,405;854,481;;;;;;;;;
19;867,615;1219,57;1192,44;194,152;129,832;1157,35;1166;1192,28;326,012;903,702;956,643;862,356;;;;;;;;;
19,5;871,268;1220,43;1197,88;194,202;131,134;1162,61;1169,15;1196,43;327,659;908,409;962,125;867,95;;;;;;;;;
20;877,072;1223,34;1202,68;195,179;130,836;1167,72;1171,9;1200,87;329,84;915,174;968,563;876,996;;;;;;;;;
