Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
0,5;0,289152;-1,036928;0,062518;-2,2628068;-1,8016516;-3,2038796;-2,337264;-0,33136;-0,163086;-0,549474;0,029844;-0,421912;-0,610618;-1,15704;-0,67284;-1,6902888
1;-0,724628;-0,824408;-0,767072;-0,0769868;-1,2319036;-1,2124916;-1,016914;-0,14807;-0,143786;-0,539824;-0,019296;-0,307662;-0,601278;-0,28039;-0,58634;-0,6111028
1,5;0,491122;0,469422;0,502938;0,9557792;0,5050484;1,0661704;0,705576;0,32551;-0,223076;-0,067134;-0,242966;0,003738;0,100202;-0,38109;0,43406;0,0394272
2;0,012422;0,491122;0,042928;0,6287032;0,8297084;1,7748804;1,339526;-0,03623;-0,294216;-0,034634;-0,267086;-0,328762;0,185812;0,43251;-0,11574;0,4783372
2,5;-0,068068;0,900792;0,158688;0,7553112;1,6987984;1,5753204;1,309076;0,19015;0,824164;1,191066;0,499504;1,054598;0,925882;1,38601;0,94086;1,7836272
3;0,692492;1,792486;0,972298;0,9889352;2,2172884;2,4670104;1,716636;0,56064;-0,122996;0,382266;0,281254;0,718178;0,471892;0,95521;0,95836;1,4363572
3,5;1,100962;2,302241;0,627738;1,3618312;2,8895284;2,3018204;1,910476;0,91695;1,013174;0,846866;0,385254;1,398248;0,872822;1,62901;0,86156;1,6986172
4;1,218522;2,36524;0,972898;1,5234087;3,2392084;2,4570704;2,466346;1,21238;0,775934;1,430766;1,127114;1,848918;1,908302;2,11251;1,93136;2,0805572
4,5;1,677934;3,243971;1,709348;2,4940812;4,3105684;3,6049904;2,776236;1,62596;1,098184;1,257466;0,934504;0,978628;1,450392;2,48811;1,55696;2,8839172
5;1,579965;3,054959;1,268928;2,4808152;4,0814584;3,0849904;2,425656;1,30944;0,794624;1,050666;0,588734;1,158298;0,667532;2,21471;1,14886;2,4600772
5,5;1,711095;2,875902;1,199898;2,7855832;3,9744484;3,1042804;3,047546;0,9052;3,492304;5,223566;3,860114;5,415368;8,151382;11,15391;7,19836;8,9943072
