Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
0,5;-0,35662;0,042;-0,21928;0,26182;-0,23552;0,21066;0,39016;-0,0929;-0,843882;-0,586804;-0,672372;-0,362042;-1,04078;-1,17302;-0,21296;-1,341274
1;-0,17542;-0,16;0,01042;-0,36458;-0,22102;-0,35694;-0,40024;0,0304;-0,632562;-0,479484;-0,128252;-0,285772;-0,28888;-0,31232;-0,26356;-0,630449
1,5;-0,15672;-0,4163;-0,59098;-0,47548;-0,43322;-0,26084;-0,47894;-0,1927;0,190098;0,563536;0,469568;-0,293612;0,15062;0,29148;-0,20726;0,066501
2;0,34638;0,3552;0,15812;0,11142;0,46118;0,13046;0,31506;0,274;0,601878;-0,035454;-0,265112;-0,159472;0,30402;0,09548;0,01134;0,577151
2,5;0,34238;0,1791;0,64172;0,46682;0,42858;0,27666;0,17396;-0,0188;0,684468;0,538206;0,596168;1,100898;0,87502;1,09838;0,67244;1,328071
3;0,83948;0,6361;0,97212;1,14032;0,65198;0,62546;0,85376;0,3541;0,896088;0,746556;0,780368;1,348988;0,98442;1,78358;1,51614;1,732321
3,5;1,02068;1,1543;1,08182;1,50562;0,94378;0,82896;1,36026;0,5848;0,623278;0,244296;0,391448;0,699368;0,67422;1,48338;0,86024;1,447451
4;1,83248;1,2339;1,57832;1,69402;1,29228;1,13456;1,61826;1,0439;0,987128;0,915356;0,942168;1,813228;1,12152;2,78258;1,87884;1,960211
4,5;1,53648;1,4108;1,61902;1,35042;1,18948;1,69106;0,90956;0,9245;1,033858;0,658156;0,626868;2,040818;1,17252;2,09498;1,46704;1,861941
5;2,06278;1,6044;2,27312;1,52702;1,48488;1,70706;1,50796;1,3016;1,473368;0,967456;1,745568;2,302178;1,43112;2,50078;1,94094;2,605921
5,5;3,16398;2,2977;2,31082;2,83232;2,04978;2,10736;2,33056;1,8301;4,980448;3,812256;0,290768;5,269338;-5,31229;5,27678;1,37504;4,266611
6;2,74708;2,292;2,14532;2,80132;1,91058;1,98946;2,13556;1,9268;3,811118;2,576356;-0,359162;4,810238;-5,82928;5,02448;0,78544;4,043841
6,5;2,99728;2,7122;2,45162;3,01202;2,21198;2,27466;2,25856;2,1514;3,363168;2,666456;0,120148;5,797538;-4,86434;5,32238;1,30994;4,043841
7;3,53328;3,5418;2,87872;3,50792;2,67628;2,72536;2,52476;2,6208;4,392318;4,095956;1,278368;6,179138;-2,23268;6,43228;2,07084;5,319581
7,5;4,21218;4,139;3,22122;4,26872;3,77658;3,58176;3,30696;3,6186;5,027478;4,413656;2,126568;7,693338;0,81172;6,94868;3,10754;5,251751
8;4,87388;4,6445;3,29502;4,50302;4,23748;4,50456;3,76186;4,3996;5,192368;4,685556;2,791268;7,934738;8,28702;7,84818;3,86354;6,330641
8,5;5,30728;4,7732;3,33482;5,05552;4,37068;4,24526;4,08446;4,6549;6,099088;6,105056;3,874668;9,262338;22,53932;8,49808;4,85204;7,408931
9;6,20928;6,0125;4,09992;5,77692;5,33718;5,11856;4,30776;5,5228;6,114488;5,631556;3,626568;8,980838;43,01532;8,53848;4,81374;7,030001
9,5;6,68978;5,7017;4,49062;6,95252;5,44238;5,30276;5,19076;6,07;6,994688;7,178256;4,869168;10,454038;68,08402;9,51668;5,50854;7,998531
10;6,40098;6,1527;4,57922;6,81872;5,73088;5,65666;5,06896;6,7961;7,000188;6,986556;5,349968;10,156138;93,60352;9,93878;5,82694;8,359731
10,5;6,90708;6,6145;5,41642;7,33842;6,52068;6,13506;5,79546;7,9854;7,018588;7,245756;5,561368;10,446438;118,89552;10,15998;5,92244;8,305431
11;7,84648;7,3576;6,62852;8,35702;6,87698;6,51606;6,40616;9,2888;8,370588;8,740056;7,421868;11,630238;143,44452;11,27838;7,27834;9,605031
11,5;8,51628;7,785;8,25212;8,93462;7,85788;7,79036;6,99586;11,0825;8,663888;8,838056;8,314768;12,020638;164,79152;11,60578;7,71794;9,732531
12;8,69318;8,3915;8,34402;9,58212;8,43548;7,78096;7,42086;12,1306;9,052088;9,186856;9,011168;12,360638;184,43052;12,01668;8,18694;10,775831
12,5;9,07488;8,7421;8,33892;10,11082;8,24828;8,37696;7,42936;13,4796;8,933388;9,428556;9,666468;12,468338;200,40452;12,30428;8,24244;11,081831
13;9,40558;8,8491;7,92562;10,10572;8,43878;8,48006;7,21046;14,7161;9,114588;9,769256;10,220568;12,759538;214,91052;13,05638;8,61204;11,069431
13,5;10,60898;10,3573;7,81982;11,11502;9,58818;9,41666;8,15036;17,2239;9,520588;10,724556;11,405268;12,927738;227,08952;13,48718;9,28994;12,046131
14;10,60838;10,1731;6,34362;11,83792;9,80498;9,93996;8,87896;18,7815;9,421388;10,307656;11,851068;12,572638;237,24552;13,57758;9,33034;11,937331
14,5;11,35778;11,0108;5,92522;13,03492;10,75748;10,50936;9,78936;21,0204;10,471388;11,022056;13,634168;13,971038;246,34452;14,77618;10,84274;13,058731
15;11,72338;11,0753;5,16012;13,41382;10,90398;10,85126;9,96236;22,8089;9,774988;11,313256;13,713168;13,281038;253,86252;14,48338;10,46564;13,230831
15,5;12,50118;12,0041;5,00002;14,55242;11,45508;11,53856;10,70666;24,9127;10,453588;11,384056;14,679268;14,010238;260,55652;14,90548;11,10354;13,410231
16;12,93978;12,1961;4,55932;15,16562;11,63958;11,84996;10,95716;26,9252;10,431888;12,047556;15,507668;14,435838;267,00252;16,06358;12,62374;14,066731
16,5;13,84288;13,1964;4,92262;16,03102;12,70428;12,73326;11,72406;29,2735;10,635088;12,050956;16,610668;14,644438;271,93252;15,75228;12,11754;14,412531
17;13,59628;12,9706;4,13822;16,43292;12,40438;12,90776;11,65266;30,9818;10,868388;11,960756;17,141568;14,751438;276,34452;15,91018;12,70454;14,874331
17,5;15,10928;14,6509;4,36042;17,70532;13,54078;13,93116;12,73186;33,1981;11,094488;12,412656;18,079968;15,464138;281,37152;16,27558;12,48414;15,056731
18;15,99098;15,0253;5,11732;18,18732;14,08798;14,77796;13,33596;35,1807;11,538188;12,430156;19,087368;15,634738;285,46652;16,77958;13,38574;15,291531
18,5;16,49208;15,4358;4,68622;19,43562;14,13288;15,56626;14,36746;37,028;10,720688;12,393956;18,231268;14,964638;287,18052;15,89058;12,19894;14,886731
19;16,45438;15,724;4,60762;19,47872;14,41378;15,44686;14,58636;37,5923;11,404688;12,532956;18,431468;15,462338;285,74552;16,78378;13,33184;15,656031
19,5;16,80318;15,6963;4,40142;19,46942;13,89378;15,39166;14,11396;38,412;11,497788;12,822956;17,638968;14,804238;272,51552;17,06988;13,49824;16,105731
20;17,41748;16,3031;4,68292;20,56392;14,23178;16,81996;15,12236;40,4151;11,574388;12,485256;17,154468;14,201938;261,40752;17,16608;13,07714;16,070831
