Zeit;1051;1052;1053;1054;1055;1056;1057;1061;1062;1063;1064;1065;1066;1067;1071;1072;1073;1074;1075;1076;1077;1041;1042;1043;1044;1045;1046;1047;1031;1032;1033;1034;1035;1036;1037;1021;1022;1023;1024;1025;1026;1027;1011;1012;1013;1014;1015;1016;1017;1001;1002;1003;1004;1005;1006;1007;nk1;nk2;nk3;nk4;nk5;nk6;nk7;nk8
0,5;-0,2339;-0,39752;-0,70428;-0,78682;;;;-0,78962;-0,92582;-0,52322;-1,1267;;;;-1,14538;-1,06652;-1,51848;-0,99248;;;;-0,73418;-0,20672;0,04698;;;;;-0,35196;-0,47166;-0,3556;;;;;-0,68674;-0,3473;-0,39164;;;;;-0,45232;-0,3436;-0,47754;;;;;-0,71378;-0,76632;-0,4827;;;;;-0,44458;-0,4789;-0,42042;-0,3574;-0,7419;-0,42726;-0,17394;-0,60612
1;-0,2571;-0,10152;-0,47968;-0,30482;;;;0,21178;-0,74052;-0,16872;-0,3499;;;;-1,07788;-0,28122;-0,09258;-0,93978;;;;-0,72898;-0,73602;-0,53242;;;;;-0,46626;-0,38786;-0,4982;;;;;-0,13714;-0,5059;-0,59664;;;;;-0,46112;-0,4244;-0,38704;;;;;-0,59708;-0,28462;-0,5494;;;;;-0,46628;-0,2125;-0,15272;0,3438;-0,1499;0,24624;-0,34484;-0,69662
1,5;-0,1782;-0,08642;-0,00968;-0,06702;;;;-0,15052;0,06858;0,03088;0,559;;;;-0,35798;-0,54052;0,38582;-0,48968;;;;0,20002;0,09358;-0,03532;;;;;-0,21086;-0,20096;-0,0701;;;;;-0,15794;-0,2349;-0,37594;;;;;0,05378;0,0887;-0,07294;;;;;0,11942;0,25628;0,279;;;;;0,46702;0,7006;-0,17952;-0,2509;-0,1179;-0,23426;0,09166;0,40068
2;-0,1664;-0,07172;0,49042;0,54858;;;;-0,23582;0,81798;-0,15872;-0,4632;;;;0,12972;0,10008;-0,90988;0,10362;;;;0,38182;0,63468;0,22148;;;;;0,13514;0,02394;0,033;;;;;0,07716;0,097;0,07136;;;;;0,63438;0,3823;0,54986;;;;;0,50562;0,68128;0,4916;;;;;0,25962;-0,3517;-0,00802;-0,0646;0,2269;-0,16166;0,16966;0,38198
2,5;0,8356;0,65718;0,70322;0,61008;;;;0,96418;0,77978;0,81978;1,3808;;;;2,45152;1,78818;2,13512;2,31832;;;;0,88132;0,21448;0,29928;;;;;0,89394;1,03654;0,8909;;;;;0,90466;0,9911;1,29286;;;;;0,22528;0,297;0,38766;;;;;0,68582;0,11338;0,2615;;;;;0,18422;0,3425;0,76068;0,3291;0,7828;0,57694;0,25746;0,52008
3;0,5824;0,86918;1,22622;0,96308;;;;3,17598;2,15498;2,99658;3,9325;;;;14,35822;10,45578;10,53082;14,94912;;;;1,94722;0,68078;0,85098;;;;;1,00034;0,99794;1,0311;;;;;0,86636;0,9917;1,05256;;;;;0,80708;0,7944;0,67466;;;;;1,43892;0,99358;0,5066;;;;;0,34642;0,5086;0,70128;0,7933;1,04;0,53894;0,63606;0,90168
3,5;1,7665;1,56518;1,41462;2,17398;;;;10,85088;8,43538;12,95318;15,2306;;;;61,30102;46,49418;44,19982;63,38302;;;;2,42412;1,62038;1,54698;;;;;0,96684;1,19274;0,9587;;;;;0,94106;0,8536;1,10536;;;;;0,98318;1,0639;1,11566;;;;;1,67372;1,23508;1,1397;;;;;0,88692;1,3702;1,29238;0,5856;0,9137;0,51604;0,87956;1,26978
4;4,1694;4,22608;4,27052;5,10168;;;;40,89438;32,20508;48,02818;55,6935;;;;165,54002;136,10178;134,07882;171,36502;;;;3,35082;2,21218;3,22038;;;;;1,41244;1,32264;1,3729;;;;;1,17326;1,4475;1,18316;;;;;1,81788;2,0611;1,81596;;;;;2,69742;2,04168;1,7236;;;;;1,19772;0,8435;1,64418;1,3829;1,0357;0,75324;1,38546;1,74308
4,5;10,8757;11,33068;10,28182;16,22128;;;;119,80638;100,16058;132,59358;145,7265;;;;268,35202;236,66078;249,43582;277,69602;;;;5,67082;4,05728;4,05688;;;;;1,90474;1,72684;2,1106;;;;;1,55306;1,6266;1,44656;;;;;2,30588;2,0168;2,08266;;;;;3,52942;2,09508;1,9397;;;;;1,51242;1,6357;1,94568;1,7977;1,424;0,75114;1,85626;2,53648
5;31,0162;32,66128;29,47062;44,90098;;;;227,99038;207,41458;236,68158;246,8605;;;;339,01602;307,18178;331,93082;351,15202;;;;13,67702;9,74418;10,05458;;;;;3,71794;3,35164;3,6471;;;;;2,26266;2,552;2,13576;;;;;2,64478;2,2778;2,42996;;;;;3,62082;2,50088;2,1806;;;;;1,25742;1,5887;2,33118;1,9753;1,7912;1,74924;1,48186;2,83428
5,5;74,365;78,11128;70,57812;100,90318;;;;314,19238;303,32158;316,49258;319,9765;;;;390,63902;358,06578;389,66382;404,11902;;;;40,21832;52,01478;46,65878;;;;;13,62724;10,69594;7,8764;;;;;0,67826;3,075;3,09376;;;;;4,98578;4,6493;-3,12754;;;;;2,67272;2,65038;4,9768;;;;;2,20032;2,8078;2,28838;2,1869;0,2185;0,92384;2,91286;5,52658
6;139,7;149,30128;137,24612;175,61018;;;;375,67038;370,66458;372,11558;372,7975;;;;430,78602;396,70878;434,45582;446,38602;;;;90,84432;102,02068;97,62108;;;;;26,20974;21,04744;19,5359;;;;;2,18276;5,2967;4,56146;;;;;4,73078;5,1736;-2,04744;;;;;4,11752;3,13178;5,1966;;;;;2,66032;2,6498;2,59738;2,7358;0,5739;0,64534;2,63226;5,52718
6,5;211,276;227,32128;212,29712;245,24618;;;;421,34638;419,70658;414,58158;412,4135;;;;461,97302;427,15478;469,43382;478,83202;;;;176,68232;179,82868;177,39108;;;;;51,62944;42,99034;44,2347;;;;;5,77756;11,8147;8,72606;;;;;7,16438;7,5306;0,37076;;;;;7,06362;5,91358;7,3942;;;;;2,92262;3,1831;3,32988;3,2905;2,9246;2,14774;4,47136;8,18538
7;271,827;293,70728;277,40512;301,22518;;;;457,32938;458,94758;447,51658;442,4785;;;;487,65602;452,30278;496,63482;505,28502;;;;268,09132;259,73668;262,62208;;;;;87,78344;75,11714;78,9278;;;;;9,88846;19,9008;13,53656;;;;;8,13688;8,7135;1,71946;;;;;8,76682;7,44368;8,7233;;;;;3,13062;3,6763;3,94908;4,0363;4,7198;3,12354;4,75446;9,52138
7,5;319,825;344,69928;327,83812;345,43418;;;;487,36338;490,44758;475,38658;467,4475;;;;509,23502;472,94178;520,48982;527,75302;;;;352,70832;334,02068;343,10008;;;;;134,36644;118,15914;124,7718;;;;;16,20686;32,9988;20,51636;;;;;9,39668;10,1583;3,99576;;;;;10,83182;8,82768;10,4421;;;;;3,95392;4,4302;4,97098;5,7084;5,553;3,60284;5,92166;10,93278
8;356,687;385,73328;368,20512;381,24918;;;;512,21838;517,73158;498,69158;489,6915;;;;528,31402;491,32578;541,00582;548,20902;;;;427,42132;399,66068;413,03208;;;;;187,67644;169,34014;177,5808;;;;;27,80846;55,8709;34,17746;;;;;10,27478;11,7003;6,52786;;;;;12,00322;9,49358;12,0425;;;;;5,80782;5,4669;5,74028;6,7988;6,5906;4,37364;6,13876;11,90378
8,5;387,601;418,39728;400,07712;410,62318;;;;532,56238;540,47958;518,69158;508,4765;;;;544,95602;508,13178;559,68282;564,93402;;;;492,02932;455,24468;472,66208;;;;;239,72744;219,72514;229,1488;;;;;46,52256;89,9339;56,04026;;;;;11,67378;13,8508;10,72406;;;;;14,49712;10,77478;14,9145;;;;;6,59492;6,1994;6,20638;7,6239;7,5688;4,79724;7,54556;13,26178
9;414,312;446,92328;428,14812;436,95518;;;;550,83238;560,01758;536,60058;525,3545;;;;560,37902;522,73978;575,22982;581,51802;;;;545,23532;501,46368;523,39708;;;;;288,87244;266,47314;276,6468;;;;;72,18386;130,5849;86,84326;;;;;13,29978;16,1449;17,68306;;;;;15,63082;12,26148;18,3332;;;;;8,48862;7,7715;7,34198;8,5035;8,8334;5,25064;8,23956;14,71268
9,5;438,749;472,17528;452,69512;460,44818;;;;566,18038;576,90158;551,77458;542,1625;;;;573,75802;535,89678;589,35082;595,24702;;;;592,15532;541,97668;567,18008;;;;;331,80144;309,25514;319,9158;;;;;102,37586;174,4199;121,62026;;;;;14,54388;18,6502;25,53466;;;;;17,06972;13,59998;22,6464;;;;;10,02572;9,1798;8,50098;10,2989;9,7874;6,35574;9,25446;15,78248
10;459,556;493,33628;473,88212;480,46818;;;;580,38538;591,84858;565,95158;556,7845;;;;586,10402;547,48978;602,72982;608,32002;;;;631,97332;576,12668;604,57408;;;;;371,29044;347,16514;358,4548;;;;;134,56286;218,4199;159,46326;;;;;15,83708;20,9982;34,81816;;;;;18,40482;14,39818;27,9281;;;;;10,39802;10,0893;8,97398;11,1746;11,2413;7,16754;9,63406;16,78758
10,5;479,622;513,14128;493,20012;499,26818;;;;592,35338;605,31658;577,14058;570,0155;;;;596,48202;558,25378;614,05882;619,63302;;;;666,91732;607,23768;636,98608;;;;;405,19444;380,83114;392,3088;;;;;166,36886;260,2269;195,32826;;;;;17,28348;23,9856;45,38096;;;;;19,01912;15,22538;33,551;;;;;11,39402;11,006;10,28078;12,0449;11,714;7,48674;9,78956;17,05218
