Zeit;Probe1;Probe2;Probe3;Probe4;Probe5;Probe6;Probe7;Probe8
0;-3,8858;-5,8496;-5,5964;-6,2484;-6,5898;-6,7292;-0,1392;-0,1392
0,5;-1,6478;-2,3756;-2,3784;-2,3394;-2,9968;-2,9252;-0,8036;-0,8036
1;0,3932;0,2364;0,0476;0,2266;0,1432;-0,0082;0,0082;0,0082
1,5;1,4762;2,7614;2,3546;2,2946;2,5822;2,3698;0,1604;0,1604
2;3,6642;5,2274;5,5726;6,0666;6,8612;7,2928;0,7742;0,7742
2,5;8,8762;10,0494;13,6146;13,3736;17,7122;21,7058;0,7467;0,7467
3;27,7782;25,7644;42,3776;41,4336;57,6882;74,4848;1,1395;1,1395
3,5;69,4842;68,4954;111,5456;113,3726;144,3632;172,8958;1,1781;1,1781
4;119,7882;139,8414;202,2006;212,1106;252,6112;287,0868;1,1329;1,1329
4,5;164,5552;220,4404;293,4066;311,9556;367,1852;406,4858;1,7623;1,7623
5;209,9342;297,5654;382,0316;408,9186;485,7962;532,5688;1,2399;1,2399
5,5;256,0262;359,8344;470,3576;505,5586;610,6212;668,2298;2,9949;2,9949
6;298,6242;414,4424;559,2316;605,9576;740,4252;811,5868;3,6259;3,6259
6,5;336,9052;461,8554;650,8726;708,7626;872,4752;954,5868;3,7163;3,7163
7;369,5112;504,1954;741,3376;811,2126;998,2152;1090,8668;4,4359;4,4359
7,5;399,0072;550,4104;830,2856;909,6726;1114,1752;1213,6468;5,4744;5,4744
8;425,7552;597,3344;915,7956;995,0026;1212,9752;1321,0468;6,0224;6,0224
8,5;452,7282;639,1494;996,7356;1070,2626;1297,2352;1413,7668;7,6671;7,6671
9;477,1802;675,6074;1069,6256;1134,2826;1365,5352;1495,2368;8,5058;8,5058
9,5;498,3432;706,9814;1131,2556;1190,0926;1421,1452;1560,5068;9,3441;9,3441
10;517,9822;736,9094;1184,8556;1237,9926;1464,5852;1617,0468;10,5273;10,5273
10,5;535,3472;762,4234;1229,1656;1282,3726;1499,8352;1661,3568;11,3765;11,3765
11;550,3442;786,3374;1266,5956;1317,1326;1527,5252;1696,6568;12,2775;12,2775
11,5;564,1532;804,9574;1299,1956;1350,3726;1552,8552;1723,6268;13,1583;13,1583
12;576,4122;823,1474;1323,7656;1378,5926;1573,5552;1744,3668;13,7166;13,7166
12,5;587,0262;838,8774;1346,1256;1400,8826;1592,2752;1759,1868;14,1643;14,1643
13;596,4902;854,0574;1363,5756;1418,2326;1609,3252;1771,3268;15,5371;15,5371
13,5;605,5042;865,2874;1379,6256;1434,3426;1623,5352;1779,9668;15,4403;15,4403
14;613,6782;878,0274;1389,5856;1444,8926;1633,9252;1784,1268;15,7032;15,7032
14,5;621,4282;886,8074;1398,6956;1458,4326;1644,4852;1787,2868;17,2246;17,2246
15;630,1862;896,8274;1406,2656;1469,9526;1655,4952;1793,5268;17,76;17,76
15,5;636,6552;904,1574;1413,8956;1481,7826;1668,1152;1800,4568;17,76;17,76
16;642,2212;912,8174;1417,4756;1492,2226;1682,1452;1812,9268;17,76;17,76
16,5;647,5302;917,9974;1422,5456;1499,6426;1700,6652;1831,0768;17,76;17,76
17;652,4532;924,8174;1426,0156;1505,0426;1723,6252;1861,5968;17,76;17,76
17,5;658,8992;930,2074;1433,6956;1512,6226;1754,3852;1895,1368;17,76;17,76
18;665,1422;936,6174;1441,3956;1518,9026;1781,5252;1925,6668;17,76;17,76
18,5;671,4662;940,6774;1454,9856;1531,8826;1807,7152;1947,1268;17,76;17,76
19;675,9882;946,0074;1469,0356;1542,9326;1822,8652;1962,2668;17,76;17,76
19,5;679,6972;949,0574;1486,2856;1560,0326;1834,9052;1970,2768;17,76;17,76
