Zeit;Probe1;Probe2;Probe3;Probe4;Probe5;Probe6;Probe7;Probe8
0;44,799;40,7749;43,6899;43,6079;38,3859;42,8465;41,7462;40,8638
1;45,3126;41,4333;44,2407;43,8021;37,9518;42,9465;41,6039;40,6428
2;46,0578;42,3047;44,4508;44,729;38,9152;43,6182;42,5546;41,1065
3;46,5564;42,6511;45,2409;44,8852;38,7606;43,8669;42,5486;41,6301
4;46,0644;42,595;45,2279;45,3593;39,5799;44,3456;43,2465;42,3159
5;46,2073;42,9336;45,6704;45,5942;39,6809;44,5536;43,3089;42,8229
6;46,7216;43,0698;45,6701;45,6346;40,0945;45,2448;44,3386;42,7642
7;47,2332;43,2151;46,2269;45,7922;40,6073;45,757;44,6262;43,2878
8;48,1288;44,1716;47,1439;47,5126;40,8382;46,0961;45,7946;43,4448
9;47,9775;45,0048;47,8529;48,9177;40,6425;47,4291;47,1949;45,4266
10;48,0085;47,3676;50,6619;52,2595;43,2808;61,5084;67,9069;67,9983
11;49,3207;53,201;55,9822;62,6683;43,5181;94,6806;110,317;114,102
12;49,3653;62,757;68,3447;80,9124;45,5061;179,44;205,214;219,289
13;50,1042;79,3524;89,6934;110,401;47,2793;275,88;304,398;327,607
14;50,9573;105,987;121,437;150,641;48,8685;365,282;394,249;423,735
15;53,0792;140,884;158,682;196,596;50,9742;446,984;477,394;509,565
16;54,2244;183,494;201,987;248,939;51,5174;520,277;550,562;584,759
17;55,0314;229,49;247,273;300,85;52,2831;585,11;616,042;651,337
18;56,1401;279,813;295,791;356,276;52,8911;642,385;673,678;709,575
19;57,2422;331,49;346,871;412,024;53,8153;693,158;724,347;760,099
20;58,634;382,908;396,582;467,886;54,5319;738,362;769,898;804,452
21;58,6352;433,432;447,443;522,355;56,0449;778,509;810,084;843,891
22;60,2709;483,165;497,202;575,533;56,1757;813,531;844,642;877,89
23;60,6106;529,722;545,944;624,817;56,0955;843,847;875,261;907,497
24;61,7902;573,42;591,804;671,133;57,1533;872,13;902,654;933,843
25;62,8601;613,074;634,605;712,463;57,547;895,694;927,589;955,685
26;64,2154;649,203;673,263;750,033;58,4519;916,595;947,053;974,34
27;65,0558;682,58;709,892;784,009;59,047;935,293;965,555;990,636
28;65,6289;711,167;742,075;815,016;59,7578;950,395;980,765;1004,07
29;66,8118;737,594;770,307;841,953;60,3228;963,426;993,671;1015,37
30;66,9308;760,609;794,794;864,902;61,0746;974,131;1003,79;1024,51
31;67,5148;779,506;816,427;884,319;61,7604;983,327;1013,19;1032,12
32;68,2892;796,17;836,239;902,482;61,824;991,559;1021,16;1039,26
33;69,5227;811,588;853,16;917,993;62,2315;998,589;1028,71;1045,04
34;69,7479;825,87;866,676;931,968;62,9077;1004,41;1034,7;1050,31
35;69,9242;837,346;879,497;941,741;62,6096;1009,51;1038,9;1052,88
36;70,5639;845,797;891,011;948,431;63,4268;1011,59;1041,42;1050,66
37;71,1602;851,102;901,391;951,869;63,3442;1002,21;1034,03;1029,8
38;70,6598;853,482;908,922;951,398;63,1085;977,308;1010,9;972,108
39;70,6152;856,209;915,526;951,29;62,9499;900,871;920,982;855,472
