Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL;ProbeM;ProbeN;ProbeO;ProbeP
0,5;-0,55228;-0,40606;-1,1806;-0,73418;-0,20672;0,04698;-0,44458;-0,4789;;;;;;;;
1;-0,66268;-0,63396;-0,638;-0,72898;-0,73602;-0,53242;-0,46628;-0,2125;;;;;;;;
1,5;0,18232;0,14134;0,3511;0,20002;0,09358;-0,03532;0,46702;0,7006;;;;;;;;
2;0,14312;0,18784;0,5259;0,38182;0,63468;0,22148;0,25962;-0,3517;;;;;;;;
2,5;0,88952;0,71084;0,9416;0,88132;0,21448;0,29928;0,18422;0,3425;;;;;;;;
3;0,38672;0,70324;0,9875;1,94722;0,68078;0,85098;0,34642;0,5086;;;;;;;;
3,5;0,90092;0,72954;1,0037;2,42412;1,62038;1,54698;0,88692;1,3702;;;;;;;;
4;1,82402;1,73934;1,8632;3,35082;2,21218;3,22038;1,19772;0,8435;;;;;;;;
4,5;1,52462;2,11014;2,0537;5,67082;4,05728;4,05688;1,51242;1,6357;;;;;;;;
5;3,41352;3,10644;3,9896;13,67702;9,74418;10,05458;1,25742;1,5887;;;;;;;;
5,5;6,32492;7,03614;6,9685;40,21832;52,01478;46,65878;2,20032;2,8078;;;;;;;;
6;17,25162;17,18594;17,3381;90,84432;102,02068;97,62108;2,66032;2,6498;;;;;;;;
6,5;33,36992;32,77184;33,113;176,68232;179,82868;177,39108;2,92262;3,1831;;;;;;;;
7;59,14032;58,65334;58,5061;268,09132;259,73668;262,62208;3,13062;3,6763;;;;;;;;
7,5;95,86232;95,67334;95,1861;352,70832;334,02068;343,10008;3,95392;4,4302;;;;;;;;
8;138,88132;137,82234;137,9441;427,42132;399,66068;413,03208;5,80782;5,4669;;;;;;;;
8,5;180,68232;179,33434;181,2711;492,02932;455,24468;472,66208;6,59492;6,1994;;;;;;;;
9;219,90532;218,02334;222,6341;545,23532;501,46368;523,39708;8,48862;7,7715;;;;;;;;
9,5;251,95932;250,11934;256,9411;592,15532;541,97668;567,18008;10,02572;9,1798;;;;;;;;
10;281,36432;278,36534;286,8511;631,97332;576,12668;604,57408;10,39802;10,0893;;;;;;;;
10,5;307,33132;303,31434;313,3501;666,91732;607,23768;636,98608;11,39402;11,006;;;;;;;;
11;329,74732;325,75134;336,1971;696,73932;632,73468;664,48208;12,08462;11,7901;;;;;;;;
11,5;351,02532;346,37834;357,3551;722,42632;655,12868;688,40008;13,44562;13,1337;;;;;;;;
12;370,01132;364,61634;376,3231;746,16332;675,83068;710,11108;13,36122;13,1795;;;;;;;;
12,5;386,94332;382,36234;393,1831;765,35332;693,00068;727,69408;14,93032;14,2891;;;;;;;;
13;403,12932;398,18734;409,5721;782,80132;708,57668;743,40108;15,94862;15,4334;;;;;;;;
13,5;418,44032;414,83234;424,3631;796,91732;720,57668;757,37308;16,16442;15,5661;;;;;;;;
14;431,84232;429,40634;438,5021;809,49632;732,35968;768,47908;15,72042;16,0523;;;;;;;;
14,5;445,52132;444,48134;452,4601;819,61432;740,84168;777,58408;16,72842;16,6374;;;;;;;;
15;461,14832;462,45034;469,7161;828,20632;749,38868;785,65808;17,11402;16,9778;;;;;;;;
15,5;477,13032;480,65834;487,6071;835,69632;756,60068;792,58908;18,31682;18,3976;;;;;;;;
16;495,01632;500,27534;507,9591;842,61832;761,64168;799,48708;18,77712;18,9203;;;;;;;;
16,5;516,32932;524,39534;531,3971;848,26232;767,27968;806,40908;18,95922;18,9707;;;;;;;;
17;541,20732;551,56434;558,8291;852,64832;770,64068;809,87008;20,45222;19,5847;;;;;;;;
17,5;568,04732;581,45134;588,0081;857,95232;775,40268;814,63008;20,12162;19,7179;;;;;;;;
18;596,86132;612,48734;617,7491;861,50032;778,68768;818,47508;20,52522;20,3254;;;;;;;;
18,5;626,16832;642,73834;647,3611;865,05332;782,80068;822,02308;21,28972;20,6953;;;;;;;;
19;653,66432;672,29534;675,6581;869,49432;785,76368;819,88208;21,19112;20,7384;;;;;;;;
19,5;681,67832;700,91134;702,9321;873,62832;788,46168;809,00708;21,61192;21,1869;;;;;;;;
20;705,91632;726,27534;725,3071;875,89032;787,05268;790,78608;22,05322;21,6608;;;;;;;;
