Zeit;1051;1052;1053;1054;1055;1056;1057;1061;1062;1063;1064;1065;1066;1067;1071;1072;1073;1074;1075;1076;1077;1041;1042;1043;1044;1045;1046;1047;1031;1032;1033;1034;1035;1036;1037;1021;1022;1023;1024;1025;1026;1027;1011;1012;1013;1014;1015;1016;1017;1001;1002;1003;1004;1005;1006;1007;nk1;nk2;nk3;nk4;nk5;nk6;nk7;nk8
0;-1,64822;-1,72846;-1,33612;-1,2507;-2,9515;-2,73256;-2,48862;-2,85812;-1,92414;-2,06336;-2,464;-2,48294;-2,381;-1,91388;-1,9872;-1,14592;-1,7217;-1,48762;-1,13046;-1,93246;-1,97034;-1,68332;-1,43032;-1,64634;-0,96252;-1,75268;-2,7757;-3,88928;-2,0362;-2,2212;-1,13066;-2,12682;;;;-6,7854;-9,8246;-8,3758;-5,6226;;;;-4,5588;-7,8388;-7,5072;-8,7234;;;;-4,3288;-7,6362;-8,949;-8,986;;;;;;;;;;;
0,5;-0,63212;-0,94046;-1,05512;-1,162;-1,5317;-1,37986;-1,47242;-1,22072;-0,87604;-0,76686;-0,9881;-0,77974;-0,4234;-0,58238;-0,6883;-0,25602;-0,6425;-0,47202;-0,80406;-0,50416;-0,50954;-0,65782;-0,69692;-0,33714;-0,52472;-0,43568;-1,3418;-1,60638;-0,863;-1,2332;-0,81266;-0,59452;;;;-5,1444;-6,8036;-5,5608;-2,1666;;;;-1,6758;-4,3648;-4,8002;-5,6424;;;;-1,8498;-5,3962;-6,455;-6,582;;;;;;;;;;;
1;0,21168;0,31474;0,20098;0,5014;0,1242;0,34044;0,31308;0,00558;0,22066;-0,16606;0,2337;0,05136;0,2157;0,13742;0,4241;-0,01182;-0,0728;0,00308;-0,18846;0,07704;-0,02144;0,15608;-0,18652;-0,07034;-0,14642;-0,06518;0,0374;0,26382;-0,0385;0,0148;-0,00536;0,02858;;;;-3,3784;-4,0506;-3,2838;0,2864;;;;0,7212;-2,8138;-2,2882;-4,2124;;;;0,8162;-3,6012;-4,03;-4,441;;;;;;;;;;;
1,5;0,69248;0,86494;0,61128;0,4908;1,6016;1,19654;1,23888;1,03328;1,32456;1,07294;1,233;1,24966;1,0333;1,12412;0,8862;0,57968;0,5497;0,41788;0,43704;0,50484;0,58776;0,53468;0,43748;0,44026;0,57978;0,73462;1,5027;1,92192;1,1534;1,1908;0,99514;0,95828;;;;0,2416;0,5624;0,7152;2,6654;;;;2,0442;0,2562;0,6018;-0,3564;;;;1,9992;0,2128;0,214;0,4;;;;;;;;;;;
2;1,37618;1,48924;1,57898;1,4205;2,7574;2,57544;2,40908;3,03998;1,25496;1,92334;1,9854;1,96166;1,5554;1,23472;1,3652;0,83408;1,8873;1,53868;1,68594;1,85474;1,91356;1,65038;1,87628;1,61356;1,05388;1,51892;2,5774;3,30992;1,7843;2,2488;0,95354;1,73448;;;;15,0666;20,1164;16,5052;4,8374;;;;3,4692;14,7612;13,9938;18,9346;;;;3,3632;16,4208;19,22;19,609;;;;;;;;;;;
2,5;1,80338;2,17414;1,76008;1,5375;3,7642;3,40204;3,34898;3,63178;1,86356;4,21734;4,2993;3,99646;2,0374;1,84972;1,5943;1,40318;2,0853;1,78858;1,81314;2,31954;2,03056;1,81888;1,77708;2,00666;1,21428;1,73962;3,4531;4,10592;2,0957;2,6048;1,67614;2,13898;;;;55,4706;73,4664;62,3372;7,1484;;;;6,1882;59,5692;55,0108;61,8666;;;;5,4972;63,8488;71,501;69,787;;;;;;;;;;;
3;2,19458;2,81014;2,02388;1,5221;4,8087;4,04564;3,80688;4,14448;2,28256;7,27494;6,7534;7,15836;2,7654;2,32172;1,941;1,56328;2,7009;2,44178;2,76484;2,81634;2,96746;2,61048;2,74388;2,14346;1,81718;2,76842;4,6007;5,58592;3,3428;3,6328;2,43974;3,25168;;;;108,7576;144,6964;126,4732;8,2164;;;;7,7722;117,1302;111,4338;111,7096;;;;7,3772;123,2558;134,596;127,624;;;;;;;;;;;
3,5;3,17008;2,90274;2,46338;2,0246;5,563;5,13984;4,41738;4,80588;2,87216;11,37614;9,5958;9,66366;3,2956;2,76222;1,7936;2,51068;3,3574;3,54658;3,68454;3,57234;3,67646;3,45638;4,10158;3,07826;3,58368;4,52802;6,2554;7,50292;4,8182;5,2958;3,76944;4,71128;;;;157,5106;213,7674;190,5072;9,8834;;;;9,6082;172,3442;165,8018;159,6736;;;;9,6612;178,7038;191,548;181,896;;;;;;;;;;;
4;3,76818;3,90144;3,42988;3,2934;6,6057;6,57774;6,12658;5,96768;3,70326;15,74874;13,1508;13,42006;4,0682;3,85312;2,7928;2,86668;4,0481;4,39668;4,31644;4,41884;4,32636;4,33208;4,47928;3,71316;5,41408;5,77122;6,7745;7,54592;4,5077;5,2478;3,05374;4,62838;;;;203,3386;280,0624;252,0022;11,8424;;;;10,9712;223,3322;208,5988;201,1226;;;;10,8312;225,2948;240,299;228,724;;;;;;;;;;;
