Copy;Positive;RNA;prob;;;;;;;;;;;
0;0;0;0,0731;;;;;;;;;;;
0;0;2;0,1044;;;;;;;;;;;
0;0;20;0,6936;;;;;;;;;;;
0;0;200;1;;;;;;;;;;;
0;0;;;;;;;;;;;;;
0;0;;;;;;;;;;;;;
0;0;;;;;;;;;;;;;
0;0;;;;;;;;;;;;;
2;0;;;;;;;;;;;;;
2;0;;;;;;;;;x;;;x;
2;1;;;;;;;;;1;0.0730772995653799;;1;0.0730772995653799
20;0;;;;;;;;;2;0.0730772995653799;;2;0.0730772995653799
20;1;;;;;;;;;3;0.0730772995653799;;3;0.0730772995653799
20;1;;;;;;;;;4;0.0730772995653799;;4;0.0730772995653799
200;1;;;;;;;;;5;0.0730772995653799;;5;0.0730772995653799
200;1;;;;;;;;;6;0.0730772995653799;;6;0.0730772995653799
200;1;;;;;;;;;7;0.0730772995653799;;7;0.0730772995653799
2000;1;;;;;;;;;8;0.0730772995653799;;8;0.0730772995653799
2000;1;;;;;;;;;9;0.104315753995347;;9;0.104315753995347
2000;1;;;;;;;;;10;0.104315753995347;;10;0.104315753995347
20000;1;;;;;;;;;11;0.104315753995347;;11;0.104315753995347
20000;1;;;;;;;;;12;0.693525568972857;;12;0.693525568972857
20000;1;;;;;;;;;13;0.693525568972857;;13;0.693525568972857
200000;1;;;;;;;;;14;0.693525568972857;;14;0.693525568972857
200000;1;;;;;;;;;15;1;;15;1
200000;1;;;;;;;;;16;1;;16;1
200000;1;;;;;;;;;17;1;;17;1
2000000;1;;;;;;;;;18;1;;18;1
2000000;1;;;;;;;;;19;1;;19;1
2000000;1;;;;;;;;;20;1;;20;1
2000000;1;;;;;;;;;21;1;;21;1
20000000;1;;;;;;;;;22;1;;22;1
20000000;1;;;;;;;;;23;1;;23;1
20000000;1;;;;;;;;;24;1;;24;1
20000000;1;;;;;;;;;25;1;;25;1
;;;;;;;;;;26;1;;26;1
;;;;;;;;;;27;1;;27;1
;;;;;;;;;;28;1;;28;1
;;;;;;;;;;29;1;;29;1
;;;;;;;;;;30;1;;30;1
;;;;;;;;;;31;1;;31;1
;;;;;;;;;;32;1;;32;1
;;;;;;;;;;33;1;;33;1
;;;;;;;;;;34;1;;34;1
;;;;;;;;;;35;1;;35;1
