Zeit;ProbeA;ProbeB;ProbeC;ProbeD;ProbeE;ProbeF;ProbeG;ProbeH;ProbeI;ProbeJ;ProbeK;ProbeL
0,5;-0,622;-0,47166;0,28992;;;;;;;;;
1;-0,522;-0,38786;-0,53758;;;;;;;;;
1,5;-0,042;-0,20096;-0,11428;;;;;;;;;
2;0,288;0,02394;0,05542;;;;;;;;;
2,5;0,898;1,03654;0,30652;;;;;;;;;
3;2,698;0,99794;0,41352;;;;;;;;;
3,5;11,968;1,19274;0,31072;;;;;;;;;
4;54,088;1,32264;0,42262;;;;;;;;;
4,5;169,948;1,72684;1,02732;;;;;;;;;
5;319,338;3,35164;1,07822;;;;;;;;;
5,5;438,788;10,69594;1,60302;;;;;;;;;
6;529,538;21,04744;2,04172;;;;;;;;;
6,5;599,558;42,99034;2,05822;;;;;;;;;
7;654,118;75,11714;2,14262;;;;;;;;;
7,5;697,658;118,15914;3,92482;;;;;;;;;
8;733,018;169,34014;3,74302;;;;;;;;;
8,5;762,748;219,72514;4,07802;;;;;;;;;
9;785,698;266,47314;4,86812;;;;;;;;;
9,5;806,628;309,25514;5,68832;;;;;;;;;
10;824,938;347,16514;5,70372;;;;;;;;;
10,5;839,608;380,83114;7,34392;;;;;;;;;
11;851,758;411,18114;7,51692;;;;;;;;;
11,5;862,218;438,21214;7,86872;;;;;;;;;
12;871,448;462,77914;8,36912;;;;;;;;;
12,5;877,668;484,94414;8,87552;;;;;;;;;
13;882,798;504,73314;9,00822;;;;;;;;;
13,5;887,858;523,09614;9,39892;;;;;;;;;
14;890,968;539,63414;9,58212;;;;;;;;;
14,5;894,278;555,38014;10,30262;;;;;;;;;
15;894,978;569,03114;10,47682;;;;;;;;;
15,5;897,298;581,55314;10,46782;;;;;;;;;
16;898,368;592,68714;10,49432;;;;;;;;;
16,5;900,248;603,72014;10,91452;;;;;;;;;
17;900,438;613,08814;11,83732;;;;;;;;;
17,5;901,958;621,32114;11,58952;;;;;;;;;
18;903,728;628,79114;11,98412;;;;;;;;;
18,5;904,688;635,71614;12,13212;;;;;;;;;
19;907,038;641,66814;12,35642;;;;;;;;;
19,5;908,138;646,57714;13,00722;;;;;;;;;
20;910,688;652,19814;13,10582;;;;;;;;;
